y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88
0.425,0.328125,0.340625,0.384375,0.3875,0.359375,0.465625,0.3625,0.359375,0.484375,0.31875,0.525,0.43125,0.390625,0.378125,0.340625,0.359375,0.553125,0.396875,0.4125,0.415625,0.49375,0.390625,0.35,0.453125,0.378125,0.496875,0.540625,0.36875,0.434375,0.3,0.340625,0.415625,0.35,0.328125,0.346875,0.58125,0.375,0.359375,0.425,0.5,0.5375,0.346875,0.415625,0.409375,0.475,0.45625,0.353125,0.3625,0.39375,0.41875,0.459375,0.4625,0.4,0.409375,0.44375,0.378125,0.45625,0.384375,0.334375,0.603125,0.384375,0.6,0.45625,0.45625,0.38125,0.303125,0.34375,0.434375,0.446875,0.409375,0.353125,0.359375,0.475,0.490625,0.359375,0.4625,0.4625,0.54375,0.465625,0.421875,0.4125,0.353125,0.45625,0.428125,0.328125,0.421875,0.421875,0.45625
0.353125,0.3625,0.415625,0.409375,0.396875,0.365625,0.4625,0.45625,0.353125,0.48125,0.453125,0.459375,0.4,0.36875,0.409375,0.328125,0.403125,0.49375,0.3625,0.45,0.384375,0.53125,0.40625,0.409375,0.484375,0.353125,0.503125,0.534375,0.38125,0.440625,0.365625,0.41875,0.428125,0.44375,0.35,0.35,0.6375,0.35,0.346875,0.4125,0.55,0.546875,0.35625,0.4375,0.596875,0.384375,0.490625,0.31875,0.425,0.371875,0.4375,0.459375,0.415625,0.434375,0.496875,0.54375,0.346875,0.528125,0.4375,0.325,0.55,0.35,0.528125,0.45,0.50625,0.38125,0.3,0.403125,0.503125,0.453125,0.50625,0.328125,0.415625,0.54375,0.4625,0.4125,0.471875,0.528125,0.56875,0.48125,0.459375,0.35,0.378125,0.434375,0.415625,0.34375,0.4,0.46875,0.484375
0.371875,0.36875,0.43125,0.403125,0.525,0.371875,0.41875,0.45625,0.365625,0.465625,0.434375,0.49375,0.4625,0.365625,0.378125,0.34375,0.49375,0.525,0.465625,0.375,0.4125,0.48125,0.425,0.384375,0.484375,0.371875,0.46875,0.55625,0.390625,0.48125,0.365625,0.36875,0.446875,0.3875,0.34375,0.396875,0.665625,0.39375,0.359375,0.46875,0.5375,0.615625,0.36875,0.3625,0.615625,0.396875,0.4875,0.321875,0.421875,0.384375,0.45,0.45,0.39375,0.41875,0.65,0.5625,0.38125,0.496875,0.415625,0.390625,0.575,0.375,0.609375,0.4375,0.4375,0.365625,0.31875,0.396875,0.5875,0.4625,0.45625,0.34375,0.40625,0.665625,0.509375,0.421875,0.45,0.54375,0.596875,0.515625,0.440625,0.384375,0.3875,0.41875,0.471875,0.34375,0.521875,0.4375,0.490625
0.39375,0.35,0.41875,0.44375,0.528125,0.39375,0.4625,0.43125,0.390625,0.45625,0.4875,0.496875,0.490625,0.44375,0.35,0.35625,0.51875,0.509375,0.434375,0.45,0.365625,0.41875,0.425,0.353125,0.45,0.346875,0.471875,0.65625,0.378125,0.478125,0.3375,0.590625,0.378125,0.434375,0.36875,0.421875,0.625,0.396875,0.3875,0.45,0.5375,0.690625,0.39375,0.390625,0.565625,0.4375,0.525,0.359375,0.509375,0.49375,0.453125,0.46875,0.409375,0.475,0.584375,0.590625,0.4875,0.465625,0.471875,0.353125,0.621875,0.4125,0.53125,0.45,0.384375,0.3875,0.409375,0.39375,0.615625,0.421875,0.496875,0.3125,0.421875,0.646875,0.546875,0.4875,0.484375,0.584375,0.6,0.534375,0.48125,0.371875,0.390625,0.46875,0.50625,0.421875,0.475,0.4625,0.4875
0.409375,0.371875,0.440625,0.425,0.58125,0.38125,0.45,0.471875,0.371875,0.453125,0.4375,0.490625,0.475,0.425,0.375,0.390625,0.5375,0.5,0.45,0.49375,0.409375,0.503125,0.540625,0.4125,0.465625,0.384375,0.503125,0.6375,0.434375,0.484375,0.39375,0.540625,0.44375,0.43125,0.33125,0.525,0.65,0.428125,0.36875,0.55625,0.64375,0.665625,0.375,0.39375,0.740625,0.428125,0.5625,0.3375,0.5125,0.503125,0.575,0.478125,0.428125,0.43125,0.684375,0.565625,0.48125,0.490625,0.45625,0.415625,0.596875,0.4125,0.584375,0.478125,0.471875,0.35625,0.40625,0.4875,0.615625,0.496875,0.503125,0.36875,0.4125,0.628125,0.53125,0.440625,0.490625,0.546875,0.621875,0.490625,0.45625,0.35625,0.509375,0.43125,0.64375,0.365625,0.496875,0.584375,0.5
0.478125,0.478125,0.425,0.390625,0.509375,0.396875,0.590625,0.375,0.534375,0.525,0.453125,0.56875,0.44375,0.41875,0.425,0.41875,0.5125,0.55,0.41875,0.515625,0.496875,0.496875,0.484375,0.4125,0.75,0.4375,0.628125,0.621875,0.446875,0.509375,0.39375,0.6875,0.503125,0.446875,0.340625,0.525,0.646875,0.484375,0.39375,0.515625,0.590625,0.66875,0.509375,0.390625,0.63125,0.403125,0.58125,0.346875,0.540625,0.465625,0.65625,0.453125,0.45625,0.45625,0.609375,0.659375,0.471875,0.59375,0.446875,0.38125,0.58125,0.440625,0.653125,0.475,0.43125,0.4875,0.41875,0.5125,0.68125,0.45,0.55,0.365625,0.378125,0.725,0.621875,0.45,0.53125,0.584375,0.5875,0.553125,0.60625,0.5625,0.51875,0.440625,0.646875,0.45625,0.6,0.578125,0.534375
0.415625,0.496875,0.4625,0.4,0.515625,0.4,0.465625,0.475,0.4625,0.51875,0.421875,0.534375,0.45625,0.390625,0.409375,0.425,0.534375,0.625,0.521875,0.4375,0.5125,0.51875,0.525,0.428125,0.76875,0.475,0.64375,0.665625,0.41875,0.628125,0.45,0.596875,0.39375,0.534375,0.3875,0.50625,0.68125,0.509375,0.396875,0.61875,0.634375,0.65625,0.546875,0.434375,0.61875,0.421875,0.584375,0.340625,0.50625,0.484375,0.671875,0.475,0.434375,0.484375,0.675,0.58125,0.528125,0.565625,0.409375,0.4125,0.66875,0.428125,0.6375,0.51875,0.409375,0.475,0.434375,0.45625,0.63125,0.453125,0.465625,0.39375,0.4625,0.7125,0.63125,0.45,0.590625,0.6125,0.6375,0.53125,0.653125,0.475,0.578125,0.484375,0.628125,0.4,0.534375,0.671875,0.54375
0.440625,0.46875,0.5125,0.409375,0.584375,0.46875,0.5375,0.45625,0.478125,0.565625,0.428125,0.615625,0.453125,0.421875,0.425,0.44375,0.553125,0.55,0.459375,0.48125,0.425,0.553125,0.4625,0.625,0.796875,0.50625,0.771875,0.671875,0.41875,0.740625,0.453125,0.5875,0.4625,0.54375,0.35,0.54375,0.965625,0.490625,0.425,0.609375,0.640625,0.678125,0.540625,0.48125,0.709375,0.54375,0.66875,0.35,0.5375,0.471875,0.659375,0.575,0.5,0.465625,0.7,0.5875,0.459375,0.59375,0.48125,0.415625,0.60625,0.440625,0.675,0.540625,0.425,0.478125,0.440625,0.4625,0.628125,0.434375,0.49375,0.365625,0.446875,0.7125,0.66875,0.45625,0.63125,0.6625,0.659375,0.546875,0.584375,0.5625,0.571875,0.51875,0.596875,0.384375,0.590625,0.66875,0.596875
0.45625,0.4625,0.5375,0.48125,0.5875,0.43125,0.54375,0.51875,0.471875,0.625,0.453125,0.61875,0.48125,0.396875,0.465625,0.478125,0.584375,0.571875,0.484375,0.515625,0.684375,0.528125,0.54375,0.584375,0.753125,0.521875,0.703125,0.759375,0.453125,0.75,0.48125,0.634375,0.41875,0.509375,0.40625,0.525,0.921875,0.534375,0.459375,0.615625,0.690625,0.709375,0.584375,0.434375,0.690625,0.490625,0.640625,0.378125,0.5,0.484375,0.7375,0.5875,0.465625,0.490625,0.696875,0.584375,0.528125,0.696875,0.5875,0.603125,0.646875,0.44375,0.728125,0.615625,0.43125,0.515625,0.415625,0.465625,0.65625,0.4625,0.53125,0.35625,0.5,0.73125,0.64375,0.3875,0.646875,0.68125,0.659375,0.50625,0.653125,0.55625,0.61875,0.55,0.721875,0.421875,0.584375,0.559375,0.6
0.46875,0.4875,0.571875,0.603125,0.6,0.475,0.578125,0.571875,0.4875,0.565625,0.5,0.675,0.403125,0.409375,0.534375,0.590625,0.578125,0.59375,0.55,0.578125,0.64375,0.553125,0.521875,0.525,0.7125,0.534375,0.9,0.665625,0.465625,0.725,0.49375,0.625,0.46875,0.50625,0.371875,0.615625,1.284375,0.571875,0.484375,0.68125,0.715625,0.665625,0.59375,0.44375,0.653125,0.51875,0.678125,0.3625,0.5375,0.53125,0.765625,0.56875,0.521875,0.471875,0.725,0.6125,0.509375,0.671875,0.640625,0.63125,0.721875,0.440625,0.66875,0.66875,0.45625,0.465625,0.3875,0.465625,0.6625,0.478125,0.609375,0.35625,0.571875,0.734375,0.675,0.48125,0.6625,0.65625,0.675,0.50625,0.68125,0.5,0.65,0.5875,0.61875,0.528125,0.596875,0.60625,0.61875
0.4625,0.44375,0.55625,0.58125,0.628125,0.503125,0.6,0.65625,0.471875,0.65,0.584375,0.60625,0.540625,0.415625,0.525,0.571875,0.609375,0.61875,0.56875,0.553125,0.66875,0.534375,0.484375,0.565625,0.753125,0.55,0.81875,0.75625,0.540625,0.7375,0.440625,0.6,0.646875,0.525,0.403125,0.665625,1.640625,0.584375,0.5375,0.621875,0.66875,0.728125,0.653125,0.471875,0.6875,0.503125,0.715625,0.428125,0.584375,0.665625,0.63125,0.646875,0.4875,0.43125,1.153125,0.615625,0.575,0.93125,0.615625,0.60625,0.703125,0.478125,0.703125,0.609375,0.4375,0.4625,0.425,0.5625,0.71875,0.565625,0.625,0.478125,0.640625,0.775,0.68125,0.45,0.684375,0.675,0.678125,0.65625,0.65,0.578125,0.640625,0.4875,0.665625,0.4625,0.640625,0.6,0.740625
0.496875,0.478125,0.603125,0.6125,0.725,0.44375,0.640625,0.684375,0.503125,0.678125,0.628125,0.61875,0.55625,0.48125,0.49375,0.575,0.6125,0.565625,0.59375,0.61875,0.70625,0.565625,0.5375,0.60625,0.7125,0.596875,0.809375,0.6875,0.4625,0.853125,0.50625,0.69375,0.509375,0.659375,0.365625,0.59375,2.571875,0.6375,0.5625,0.64375,0.675,0.671875,0.659375,0.471875,0.7375,0.603125,0.69375,0.50625,0.65625,0.684375,0.659375,0.778125,0.559375,0.453125,1.14375,0.703125,0.6125,0.815625,0.590625,0.609375,0.678125,0.83125,0.646875,0.634375,0.45,0.465625,0.44375,0.559375,0.7875,0.546875,0.690625,0.50625,0.65,0.790625,0.7,0.475,0.6625,0.678125,0.68125,0.690625,0.675,0.55,1.196875,0.60625,0.6375,0.58125,0.65625,0.65625,0.665625
0.575,0.509375,0.65625,0.66875,0.6875,0.515625,0.59375,0.66875,0.628125,0.853125,0.54375,0.625,0.5625,0.484375,0.5625,0.60625,0.66875,0.603125,0.778125,0.61875,0.6625,0.659375,0.596875,0.66875,0.73125,0.665625,0.8125,0.73125,0.496875,0.86875,0.5,0.66875,0.640625,0.60625,0.421875,0.60625,3.34375,0.75,0.58125,0.684375,0.7375,0.765625,0.740625,0.5125,0.803125,0.54375,0.83125,0.46875,0.675,0.63125,0.6875,0.7125,0.575,0.49375,1.103125,0.6875,0.59375,0.7375,0.61875,0.60625,0.675,0.78125,0.73125,0.865625,0.478125,0.553125,0.50625,0.571875,0.715625,0.515625,0.596875,0.565625,0.684375,0.75,0.703125,0.5,0.653125,0.70625,0.6875,0.634375,0.60625,0.634375,1.2625,0.60625,0.75625,0.590625,0.790625,0.596875,0.675
0.6125,0.5625,0.678125,0.6375,0.65625,0.50625,0.603125,0.65625,0.63125,0.746875,0.55,0.6625,0.590625,0.559375,0.6375,0.653125,0.703125,0.625,0.803125,0.69375,0.8125,0.6,0.63125,0.64375,0.834375,0.65625,0.865625,0.75,0.559375,1.459375,0.4375,0.63125,0.571875,0.615625,0.396875,0.659375,3.44375,0.784375,0.621875,0.721875,0.70625,0.678125,0.75,0.515625,0.75,0.628125,0.7125,0.49375,0.734375,0.675,0.64375,0.740625,0.56875,0.49375,1.0625,0.690625,0.6,0.953125,0.640625,0.6625,0.70625,0.903125,0.659375,0.978125,0.51875,0.653125,0.53125,0.5875,0.709375,0.54375,0.634375,0.5625,0.665625,0.753125,0.690625,0.7,0.690625,0.678125,0.70625,0.628125,0.6875,0.646875,1.178125,0.603125,0.66875,0.646875,0.8625,0.640625,0.6875
0.653125,0.61875,0.64375,0.653125,0.65625,0.45625,0.625,0.65625,0.609375,0.75625,0.578125,0.621875,0.59375,0.5,0.653125,0.640625,0.640625,0.659375,0.853125,0.590625,0.696875,0.728125,0.553125,0.784375,1.165625,0.6375,1.103125,0.759375,0.55,1.3875,0.43125,0.690625,0.58125,0.703125,0.421875,0.6875,3.278125,0.809375,0.59375,0.69375,0.709375,0.925,0.728125,0.55625,0.7,0.68125,0.740625,0.553125,0.665625,0.709375,0.6625,0.6125,0.5625,0.559375,1.178125,0.6875,0.70625,0.928125,0.7125,0.65625,0.675,0.803125,0.7125,0.859375,0.559375,0.56875,0.478125,0.571875,0.725,0.609375,0.7125,0.5625,0.715625,0.85625,0.759375,0.73125,0.675,0.7375,0.721875,0.5875,0.7125,0.684375,1.290625,0.5875,0.73125,0.6375,1.009375,0.621875,1.05625
0.565625,0.603125,0.621875,0.640625,0.70625,0.509375,0.659375,0.71875,0.64375,0.85625,0.56875,0.63125,0.603125,0.54375,0.6625,0.6625,0.675,0.640625,0.971875,0.590625,0.659375,0.88125,0.58125,0.83125,1.153125,0.60625,1.090625,0.74375,0.534375,1.428125,0.453125,0.70625,0.66875,0.640625,0.471875,0.65,3.5,1.178125,0.621875,0.7375,0.725,0.98125,0.703125,0.51875,0.68125,0.65,0.853125,0.49375,0.8125,0.7,0.66875,0.6375,0.56875,0.50625,1.15625,0.759375,0.66875,0.803125,0.7,0.90625,0.671875,1.140625,0.66875,0.86875,0.60625,0.70625,0.509375,0.65625,0.696875,0.634375,0.696875,0.565625,0.771875,0.834375,0.709375,0.746875,0.740625,0.696875,0.75,0.571875,0.690625,0.665625,1.26875,0.596875,0.7375,0.684375,0.9125,0.69375,1.53125
0.615625,0.559375,0.709375,0.65625,0.684375,0.484375,0.634375,0.690625,0.56875,0.790625,0.5625,0.659375,0.634375,0.478125,0.6,0.71875,0.6625,0.653125,0.903125,0.703125,0.721875,0.8,0.60625,0.925,1.321875,0.665625,1.05625,0.725,0.59375,1.30625,0.475,0.6875,0.6125,0.671875,0.40625,0.6875,4.26875,1.16875,0.64375,0.715625,0.934375,0.934375,0.665625,0.54375,0.734375,0.65,0.875,0.521875,0.775,0.7125,0.746875,0.70625,0.6375,0.509375,1.140625,0.740625,0.6375,0.84375,0.840625,0.775,0.7125,1.290625,0.675,0.9125,0.596875,0.66875,0.509375,0.671875,0.740625,0.70625,0.646875,0.61875,0.725,1.09375,0.71875,0.66875,0.69375,0.703125,0.71875,0.6625,0.76875,0.765625,1.103125,0.60625,0.80625,0.70625,0.96875,0.65,1.55625
0.759375,0.671875,0.640625,0.61875,0.721875,0.584375,0.640625,0.6625,0.65,0.990625,0.621875,0.64375,0.671875,0.5125,0.6125,0.703125,0.684375,0.634375,0.965625,0.709375,0.728125,0.928125,0.578125,0.98125,1.11875,0.809375,1.059375,0.7125,0.59375,1.934375,0.48125,0.796875,0.621875,0.640625,0.528125,0.68125,4.3125,1.18125,0.5875,0.678125,0.78125,0.91875,0.74375,0.5625,0.66875,0.709375,0.853125,0.53125,0.821875,0.7125,0.7625,0.646875,0.553125,0.6125,1.19375,0.81875,0.69375,0.8,0.853125,1.803125,0.74375,1.2375,0.6875,0.953125,0.55,0.996875,0.5,0.665625,0.71875,0.728125,0.66875,0.575,0.721875,1.159375,0.71875,0.675,0.7,0.75,0.709375,0.6875,0.725,0.690625,1.0875,0.58125,0.865625,0.725,0.9,0.640625,1.5625
0.634375,0.6375,0.684375,0.70625,0.7375,0.559375,0.621875,0.6625,0.646875,0.975,0.6375,0.709375,0.690625,0.534375,0.634375,0.784375,0.740625,0.709375,0.91875,0.671875,0.709375,0.959375,0.615625,1.2125,1.1875,0.8625,1.090625,0.75625,0.665625,2.0625,0.440625,0.734375,0.590625,0.6625,0.61875,0.69375,5.48125,1.340625,0.60625,0.703125,0.959375,0.921875,0.696875,0.63125,0.703125,0.646875,0.8375,0.578125,0.784375,0.7,0.753125,0.66875,0.64375,0.60625,1.08125,0.94375,0.6875,0.946875,0.775,1.665625,0.73125,1.278125,0.6875,0.928125,0.6875,0.940625,0.55,0.65,0.70625,0.646875,0.66875,0.659375,0.784375,1.61875,0.753125,0.653125,0.809375,0.71875,0.7375,0.653125,0.73125,0.6625,1.18125,0.765625,0.78125,0.740625,0.9625,0.684375,1.584375
0.63125,0.665625,0.6625,0.7125,0.715625,0.51875,0.69375,0.66875,0.7625,0.89375,0.6625,0.7,0.66875,0.490625,0.75625,0.746875,0.684375,1.028125,0.9625,0.721875,0.68125,0.921875,0.621875,1.209375,1.125,0.834375,1.38125,0.74375,0.66875,2.078125,0.46875,0.70625,0.565625,0.65,0.64375,0.7,5.096875,1.146875,0.70625,0.68125,0.934375,1.021875,0.703125,0.596875,0.734375,0.690625,0.815625,0.609375,0.775,0.75,0.728125,0.721875,0.6625,0.6125,1.0875,0.865625,0.703125,0.80625,0.9875,1.909375,0.73125,1.284375,0.7125,1.109375,0.696875,1.015625,0.55625,0.66875,0.7125,0.64375,0.76875,0.69375,0.765625,1.58125,0.7125,0.78125,0.803125,0.75625,0.740625,0.65,0.79375,0.671875,1.2875,0.671875,0.775,0.740625,1.125,0.821875,1.659375
0.65,0.6625,0.621875,0.728125,0.728125,0.509375,0.634375,0.790625,0.675,0.975,0.646875,0.734375,0.703125,0.484375,0.65625,0.746875,0.7625,1.165625,0.959375,0.675,0.659375,1.303125,0.628125,1.30625,1.078125,0.9,1.265625,0.725,0.74375,2.109375,0.434375,0.709375,0.625,0.64375,0.625,0.6875,4.565625,1.909375,0.7125,0.703125,1.14375,1.48125,0.71875,0.625,0.7375,0.665625,0.878125,0.603125,0.88125,0.746875,0.703125,0.7625,0.634375,0.621875,1.115625,0.80625,0.728125,0.9375,0.934375,1.9875,0.715625,1.15625,0.6625,1.009375,0.903125,1.059375,0.6625,0.70625,0.71875,0.715625,0.7375,0.65625,0.796875,1.509375,0.709375,1.065625,0.875,0.75625,0.771875,0.659375,0.778125,0.68125,1.515625,0.728125,0.759375,0.70625,1.096875,0.78125,2.278125
